0 0 2  WATTS 21
0 0 4  WATTS 22
0 0 6  WATTS 23
0 0 8  WATTS 24
0 0 10  WATTS 25
0 0 12  WATTS 26
0 0 14  WATTS 27
0 0 16  WATTS 28
0 0 18  WATTS 27
0 0 20  WATTS 26
0 0 22  WATTS 25
0 0 24  WATTS 24
0 0 26  WATTS 23
0 0 28  WATTS 23
0 0 30  WATTS 23
0 0 32  WATTS 23
0 0 34  WATTS 23
0 0 36  WATTS 23
0 0 38  WATTS 23
0 0 40  WATTS 23
0 0 42  WATTS 23
0 0 44  WATTS 23
0 0 46  WATTS 23
0 0 48  WATTS 23
0 0 50  WATTS 23
0 0 52  WATTS 23
0 0 54  WATTS 23
0 0 56  WATTS 23
0 0 58  WATTS 23
0 1 00  WATTS 23
0 1 2  WATTS 23
0 1 4  WATTS 23
0 1 6  WATTS 23
0 1 8  WATTS 23
0 1 10  WATTS 23
0 1 12  WATTS 23
0 1 14  WATTS 23
0 1 16  WATTS 23
0 1 18  WATTS 23
0 1 20
